sequence_id,institute_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184220,Universidad Peruana Cayetano Heredia,PTAN-0019,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184220/ERR2184220_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184220/ERR2184220_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184232,Universidad Peruana Cayetano Heredia,PTAN-0031,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184232/ERR2184232_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184232/ERR2184232_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184226,Universidad Peruana Cayetano Heredia,PTAN-0025,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184226/ERR2184226_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184226/ERR2184226_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184257,Universidad Peruana Cayetano Heredia,PTAN-0056,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184257/ERR2184257_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184257/ERR2184257_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184215,Universidad Peruana Cayetano Heredia,PTAN-0014,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184215/ERR2184215_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184215/ERR2184215_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184228,Universidad Peruana Cayetano Heredia,PTAN-0027,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184228/ERR2184228_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184228/ERR2184228_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184254,Universidad Peruana Cayetano Heredia,PTAN-0053,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184254/ERR2184254_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184254/ERR2184254_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184212,Universidad Peruana Cayetano Heredia,PTAN-0011,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184212/ERR2184212_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184212/ERR2184212_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,R,R,Peru
ERR2184234,Universidad Peruana Cayetano Heredia,PTAN-0033,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184234/ERR2184234_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184234/ERR2184234_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184236,Universidad Peruana Cayetano Heredia,PTAN-0035,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184236/ERR2184236_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184236/ERR2184236_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,S,S,Peru
