sequence_id,institute_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR4796376,Foundation for Medical Research India,113,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796376/ERR4796376_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796376/ERR4796376_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796435,Foundation for Medical Research India,111,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796435/ERR4796435_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796435/ERR4796435_2.fastq.gz",S,S,S,S,I,R,R,S,R,S,R,R,R,India
ERR4796470,Foundation for Medical Research India,331,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796470/ERR4796470_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796470/ERR4796470_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796486,Foundation for Medical Research India,321,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796486/ERR4796486_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796486/ERR4796486_2.fastq.gz",S,S,S,S,S,I,R,S,S,S,S,R,R,India
ERR4796442,Foundation for Medical Research India,140,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796442/ERR4796442_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796442/ERR4796442_2.fastq.gz",S,S,NA,S,S,R,R,S,R,S,S,R,R,India
ERR4796452,Foundation for Medical Research India,432,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796452/ERR4796452_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796452/ERR4796452_2.fastq.gz",S,S,R,S,R,I,R,S,R,S,S,R,R,India
ERR4796451,Foundation for Medical Research India,103,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796451/ERR4796451_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796451/ERR4796451_2.fastq.gz",S,S,S,S,S,I,R,S,S,S,S,S,S,India
ERR4796465,Foundation for Medical Research India,135,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796465/ERR4796465_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796465/ERR4796465_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796469,Foundation for Medical Research India,211,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796469/ERR4796469_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796469/ERR4796469_2.fastq.gz",S,S,S,S,R,I,R,S,R,S,R,R,R,India
ERR4796431,Foundation for Medical Research India,136,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796431/ERR4796431_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796431/ERR4796431_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796497,Foundation for Medical Research India,134,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796497/ERR4796497_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796497/ERR4796497_2.fastq.gz",S,S,S,S,S,S,R,S,R,S,R,R,R,India
ERR4796402,Foundation for Medical Research India,83,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796402/ERR4796402_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796402/ERR4796402_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,R,R,R,India
ERR4796492,Foundation for Medical Research India,390,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796492/ERR4796492_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796492/ERR4796492_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796444,Foundation for Medical Research India,222,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796444/ERR4796444_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796444/ERR4796444_2.fastq.gz",S,S,S,S,R,R,R,R,R,S,R,R,S,India
ERR4796445,Foundation for Medical Research India,52,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796445/ERR4796445_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796445/ERR4796445_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796485,Foundation for Medical Research India,149,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796485/ERR4796485_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796485/ERR4796485_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796504,Foundation for Medical Research India,76,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796504/ERR4796504_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796504/ERR4796504_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,NA,India
ERR4796345,Foundation for Medical Research India,198,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796345/ERR4796345_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796345/ERR4796345_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796384,Foundation for Medical Research India,187,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796384/ERR4796384_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796384/ERR4796384_2.fastq.gz",S,S,S,S,I,S,R,S,R,S,R,R,R,India
ERR4796450,Foundation for Medical Research India,40,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796450/ERR4796450_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796450/ERR4796450_2.fastq.gz",S,NA,S,S,I,R,R,S,R,S,R,R,R,India
ERR4796493,Foundation for Medical Research India,358,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796493/ERR4796493_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796493/ERR4796493_2.fastq.gz",S,S,NA,S,S,R,S,S,S,S,S,S,S,India
ERR4796483,Foundation for Medical Research India,64,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796483/ERR4796483_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796483/ERR4796483_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,R,India
ERR4796502,Foundation for Medical Research India,201,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796502/ERR4796502_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796502/ERR4796502_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,India
ERR4796510,Foundation for Medical Research India,199,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796510/ERR4796510_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796510/ERR4796510_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796477,Foundation for Medical Research India,152,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796477/ERR4796477_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796477/ERR4796477_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,NA,S,India
ERR4796499,Foundation for Medical Research India,167,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796499/ERR4796499_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796499/ERR4796499_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796458,Foundation for Medical Research India,122,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796458/ERR4796458_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796458/ERR4796458_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,India
ERR4796489,Foundation for Medical Research India,318,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796489/ERR4796489_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796489/ERR4796489_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796516,Foundation for Medical Research India,182,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796516/ERR4796516_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796516/ERR4796516_2.fastq.gz",S,S,S,S,I,R,R,S,R,S,R,R,R,India
ERR4796479,Foundation for Medical Research India,156,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796479/ERR4796479_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796479/ERR4796479_2.fastq.gz",R,S,S,S,I,R,R,R,R,S,R,R,R,India
ERR4796468,Foundation for Medical Research India,147,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796468/ERR4796468_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796468/ERR4796468_2.fastq.gz",R,S,S,S,R,S,R,R,R,S,S,R,R,India
ERR4796507,Foundation for Medical Research India,227,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796507/ERR4796507_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796507/ERR4796507_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796461,Foundation for Medical Research India,192,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796461/ERR4796461_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796461/ERR4796461_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796506,Foundation for Medical Research India,177,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796506/ERR4796506_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796506/ERR4796506_2.fastq.gz",R,S,S,S,I,S,R,R,R,S,R,R,R,India
ERR4796473,Foundation for Medical Research India,126,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796473/ERR4796473_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796473/ERR4796473_2.fastq.gz",NA,NA,NA,S,R,S,R,S,S,S,S,R,R,India
ERR4796522,Foundation for Medical Research India,168,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796522/ERR4796522_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796522/ERR4796522_2.fastq.gz",S,S,S,S,I,R,R,S,R,NA,R,R,R,India
ERR4796509,Foundation for Medical Research India,314,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796509/ERR4796509_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796509/ERR4796509_2.fastq.gz",S,NA,S,S,R,R,R,S,R,S,R,R,R,India
ERR4796514,Foundation for Medical Research India,190,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796514/ERR4796514_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796514/ERR4796514_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,R,India
ERR4796478,Foundation for Medical Research India,360,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796478/ERR4796478_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796478/ERR4796478_2.fastq.gz",R,S,S,S,R,S,R,R,R,S,S,R,R,India
ERR4796482,Foundation for Medical Research India,238,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796482/ERR4796482_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796482/ERR4796482_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796476,Foundation for Medical Research India,290,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796476/ERR4796476_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796476/ERR4796476_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796488,Foundation for Medical Research India,297,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796488/ERR4796488_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796488/ERR4796488_2.fastq.gz",R,S,S,S,R,I,R,R,R,R,R,R,R,India
ERR4796511,Foundation for Medical Research India,217,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796511/ERR4796511_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796511/ERR4796511_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,S,S,India
ERR4796440,Foundation for Medical Research India,213,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796440/ERR4796440_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796440/ERR4796440_2.fastq.gz",S,S,S,S,I,I,R,S,R,S,R,R,R,India
ERR4796471,Foundation for Medical Research India,155,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796471/ERR4796471_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796471/ERR4796471_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,India
ERR4796464,Foundation for Medical Research India,393,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796464/ERR4796464_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796464/ERR4796464_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796512,Foundation for Medical Research India,184,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796512/ERR4796512_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796512/ERR4796512_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,India
ERR4796474,Foundation for Medical Research India,439,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796474/ERR4796474_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796474/ERR4796474_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796503,Foundation for Medical Research India,333,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796503/ERR4796503_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796503/ERR4796503_2.fastq.gz",S,S,S,S,I,S,R,S,R,S,R,S,R,India
ERR4796532,Foundation for Medical Research India,282,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796532/ERR4796532_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796532/ERR4796532_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,India
ERR4796501,Foundation for Medical Research India,287,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796501/ERR4796501_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796501/ERR4796501_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796467,Foundation for Medical Research India,151,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796467/ERR4796467_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796467/ERR4796467_2.fastq.gz",S,S,S,S,NA,S,S,S,S,S,S,S,S,India
ERR4796543,Foundation for Medical Research India,246,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796543/ERR4796543_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796543/ERR4796543_2.fastq.gz",S,NA,NA,S,NA,NA,NA,S,NA,NA,NA,NA,NA,India
ERR4796547,Foundation for Medical Research India,298,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796547/ERR4796547_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796547/ERR4796547_2.fastq.gz",R,S,S,S,I,S,R,R,R,S,R,R,R,India
ERR4796517,Foundation for Medical Research India,150,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796517/ERR4796517_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796517/ERR4796517_2.fastq.gz",S,S,S,NA,I,S,R,S,S,S,S,R,R,India
ERR4796527,Foundation for Medical Research India,231,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796527/ERR4796527_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796527/ERR4796527_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,India
ERR4796553,Foundation for Medical Research India,162,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796553/ERR4796553_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796553/ERR4796553_2.fastq.gz",S,S,S,S,S,S,S,S,R,S,R,S,S,India
ERR4796518,Foundation for Medical Research India,295,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796518/ERR4796518_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796518/ERR4796518_2.fastq.gz",S,S,S,S,I,R,R,S,R,S,R,R,R,India
ERR4796535,Foundation for Medical Research India,355,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796535/ERR4796535_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796535/ERR4796535_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796578,Foundation for Medical Research India,705,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796578/ERR4796578_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796578/ERR4796578_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796429,Foundation for Medical Research India,229,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796429/ERR4796429_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796429/ERR4796429_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796434,Foundation for Medical Research India,121,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796434/ERR4796434_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4796434/ERR4796434_2.fastq.gz",S,NA,S,S,R,R,R,S,R,S,R,R,R,India
ERR4796475,Foundation for Medical Research India,220,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796475/ERR4796475_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796475/ERR4796475_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796562,Foundation for Medical Research India,347,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796562/ERR4796562_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796562/ERR4796562_2.fastq.gz",S,NA,S,S,S,NA,R,S,S,S,S,R,R,India
ERR4796559,Foundation for Medical Research India,302,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796559/ERR4796559_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796559/ERR4796559_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,India
ERR4796519,Foundation for Medical Research India,195,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796519/ERR4796519_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796519/ERR4796519_2.fastq.gz",R,S,S,S,I,R,R,R,R,S,R,R,R,India
ERR4796542,Foundation for Medical Research India,343,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796542/ERR4796542_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4796542/ERR4796542_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,India
ERR4796556,Foundation for Medical Research India,283,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796556/ERR4796556_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796556/ERR4796556_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796508,Foundation for Medical Research India,204,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796508/ERR4796508_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4796508/ERR4796508_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796541,Foundation for Medical Research India,153,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796541/ERR4796541_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796541/ERR4796541_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,India
ERR4796566,Foundation for Medical Research India,336,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796566/ERR4796566_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4796566/ERR4796566_2.fastq.gz",S,S,S,NA,R,S,R,S,R,S,R,R,R,India
ERR4796551,Foundation for Medical Research India,202,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796551/ERR4796551_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796551/ERR4796551_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796500,Foundation for Medical Research India,215,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796500/ERR4796500_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796500/ERR4796500_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796539,Foundation for Medical Research India,173,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796539/ERR4796539_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4796539/ERR4796539_2.fastq.gz",S,S,S,S,S,I,R,S,S,S,S,S,S,India
ERR4796537,Foundation for Medical Research India,232,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796537/ERR4796537_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4796537/ERR4796537_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796480,Foundation for Medical Research India,291,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796480/ERR4796480_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796480/ERR4796480_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796505,Foundation for Medical Research India,193,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796505/ERR4796505_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796505/ERR4796505_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796570,Foundation for Medical Research India,254,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796570/ERR4796570_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4796570/ERR4796570_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,R,India
ERR4796555,Foundation for Medical Research India,472,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796555/ERR4796555_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796555/ERR4796555_2.fastq.gz",R,S,S,S,R,I,R,R,R,S,R,R,R,India
ERR4796561,Foundation for Medical Research India,310,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796561/ERR4796561_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4796561/ERR4796561_2.fastq.gz",S,S,S,S,R,I,R,S,S,S,S,R,R,India
ERR4796495,Foundation for Medical Research India,189,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796495/ERR4796495_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4796495/ERR4796495_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,India
ERR4796523,Foundation for Medical Research India,253,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796523/ERR4796523_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4796523/ERR4796523_2.fastq.gz",S,S,S,S,I,S,R,S,R,S,R,R,R,India
