sequence_id,country_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR4797351,India,1066,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797351/ERR4797351_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797351/ERR4797351_2.fastq.gz",R,S,R,R,R,S,R,S,R,R,R,R,R,Foundation for Medical Research India
ERR4797355,India,1165,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797355/ERR4797355_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797355/ERR4797355_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797305,India,1071,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797305/ERR4797305_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797305/ERR4797305_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797334,India,1025,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797334/ERR4797334_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797334/ERR4797334_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797280,India,1134,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797280/ERR4797280_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/000/ERR4797280/ERR4797280_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797281,India,1050,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797281/ERR4797281_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797281/ERR4797281_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797283,India,1058,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797283/ERR4797283_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797283/ERR4797283_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797268,India,1275,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797268/ERR4797268_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797268/ERR4797268_2.fastq.gz",R,S,S,S,S,S,R,R,S,S,S,R,R,Foundation for Medical Research India
ERR4797293,India,1113,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797293/ERR4797293_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797293/ERR4797293_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797272,India,1458,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797272/ERR4797272_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797272/ERR4797272_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
