sequence_id,country_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184214,Peru,PTAN-0013,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184214/ERR2184214_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184214/ERR2184214_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184207,Peru,PTAN-0006,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184207/ERR2184207_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184207/ERR2184207_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184242,Peru,PTAN-0041,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184242/ERR2184242_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184242/ERR2184242_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184262,Peru,PTAN-0061,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184262/ERR2184262_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184262/ERR2184262_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184205,Peru,PTAN-0004,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184205/ERR2184205_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184205/ERR2184205_2.fastq.gz",S,S,S,S,S,NA,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184211,Peru,PTAN-0010,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184211/ERR2184211_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184211/ERR2184211_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184238,Peru,PTAN-0037,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184238/ERR2184238_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184238/ERR2184238_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184299,Peru,PTAN-0098,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184299/ERR2184299_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184299/ERR2184299_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184256,Peru,PTAN-0055,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184256/ERR2184256_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184256/ERR2184256_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184244,Peru,PTAN-0043,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184244/ERR2184244_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184244/ERR2184244_2.fastq.gz",S,S,S,S,S,S,R,NA,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184259,Peru,PTAN-0058,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184259/ERR2184259_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184259/ERR2184259_2.fastq.gz",S,S,S,S,S,S,S,S,R,S,R,S,S,Universidad Peruana Cayetano Heredia
ERR2184206,Peru,PTAN-0005,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184206/ERR2184206_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184206/ERR2184206_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184202,Peru,PTAN-0001,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184202/ERR2184202_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184202/ERR2184202_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184246,Peru,PTAN-0045,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184246/ERR2184246_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184246/ERR2184246_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184204,Peru,PTAN-0003,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184204/ERR2184204_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184204/ERR2184204_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184253,Peru,PTAN-0052,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184253/ERR2184253_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184253/ERR2184253_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,R,R,Universidad Peruana Cayetano Heredia
ERR2184220,Peru,PTAN-0019,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184220/ERR2184220_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184220/ERR2184220_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184232,Peru,PTAN-0031,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184232/ERR2184232_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184232/ERR2184232_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184226,Peru,PTAN-0025,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184226/ERR2184226_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184226/ERR2184226_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184257,Peru,PTAN-0056,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184257/ERR2184257_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184257/ERR2184257_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184215,Peru,PTAN-0014,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184215/ERR2184215_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184215/ERR2184215_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184228,Peru,PTAN-0027,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184228/ERR2184228_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184228/ERR2184228_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184254,Peru,PTAN-0053,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184254/ERR2184254_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184254/ERR2184254_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184212,Peru,PTAN-0011,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184212/ERR2184212_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184212/ERR2184212_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,R,R,Universidad Peruana Cayetano Heredia
ERR2184234,Peru,PTAN-0033,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184234/ERR2184234_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184234/ERR2184234_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184236,Peru,PTAN-0035,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184236/ERR2184236_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184236/ERR2184236_2.fastq.gz",S,S,S,S,S,R,R,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184245,Peru,PTAN-0044,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184245/ERR2184245_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184245/ERR2184245_2.fastq.gz",R,S,S,S,R,I,R,R,R,S,S,R,R,Universidad Peruana Cayetano Heredia
ERR2184251,Peru,PTAN-0050,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184251/ERR2184251_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184251/ERR2184251_2.fastq.gz",S,S,R,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184209,Peru,PTAN-0008,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184209/ERR2184209_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184209/ERR2184209_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184224,Peru,PTAN-0023,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184224/ERR2184224_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184224/ERR2184224_2.fastq.gz",S,S,S,S,R,R,R,S,S,S,S,R,R,Universidad Peruana Cayetano Heredia
ERR2184217,Peru,PTAN-0016,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184217/ERR2184217_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184217/ERR2184217_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184255,Peru,PTAN-0054,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184255/ERR2184255_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184255/ERR2184255_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184264,Peru,PTAN-0063,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184264/ERR2184264_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184264/ERR2184264_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,NA,Universidad Peruana Cayetano Heredia
ERR2184247,Peru,PTAN-0046,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184247/ERR2184247_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184247/ERR2184247_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184300,Peru,PTAN-0099,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184300/ERR2184300_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184300/ERR2184300_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184231,Peru,PTAN-0030,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184231/ERR2184231_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184231/ERR2184231_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184276,Peru,PTAN-0075,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184276/ERR2184276_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184276/ERR2184276_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184229,Peru,PTAN-0028,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184229/ERR2184229_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184229/ERR2184229_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184233,Peru,PTAN-0032,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184233/ERR2184233_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184233/ERR2184233_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184261,Peru,PTAN-0060,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184261/ERR2184261_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184261/ERR2184261_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184219,Peru,PTAN-0018,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184219/ERR2184219_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184219/ERR2184219_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184295,Peru,PTAN-0094,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184295/ERR2184295_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184295/ERR2184295_2.fastq.gz",S,S,S,S,I,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184225,Peru,PTAN-0024,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184225/ERR2184225_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184225/ERR2184225_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184292,Peru,PTAN-0091,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184292/ERR2184292_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184292/ERR2184292_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184269,Peru,PTAN-0068,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184269/ERR2184269_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184269/ERR2184269_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,NA,NA,Universidad Peruana Cayetano Heredia
ERR2184248,Peru,PTAN-0047,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184248/ERR2184248_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184248/ERR2184248_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184280,Peru,PTAN-0079,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184280/ERR2184280_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184280/ERR2184280_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184250,Peru,PTAN-0049,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184250/ERR2184250_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184250/ERR2184250_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184265,Peru,PTAN-0064,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184265/ERR2184265_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184265/ERR2184265_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184268,Peru,PTAN-0067,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184268/ERR2184268_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184268/ERR2184268_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184297,Peru,PTAN-0096,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184297/ERR2184297_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184297/ERR2184297_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184223,Peru,PTAN-0022,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184223/ERR2184223_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184223/ERR2184223_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,Universidad Peruana Cayetano Heredia
ERR2184289,Peru,PTAN-0088,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184289/ERR2184289_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184289/ERR2184289_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184278,Peru,PTAN-0077,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184278/ERR2184278_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184278/ERR2184278_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184285,Peru,PTAN-0084,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184285/ERR2184285_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184285/ERR2184285_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184235,Peru,PTAN-0034,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184235/ERR2184235_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184235/ERR2184235_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,S,Universidad Peruana Cayetano Heredia
ERR2184237,Peru,PTAN-0036,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184237/ERR2184237_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184237/ERR2184237_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184291,Peru,PTAN-0090,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184291/ERR2184291_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184291/ERR2184291_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184271,Peru,PTAN-0070,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184271/ERR2184271_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184271/ERR2184271_2.fastq.gz",S,S,S,S,S,S,S,NA,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184272,Peru,PTAN-0071,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184272/ERR2184272_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184272/ERR2184272_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184293,Peru,PTAN-0092,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184293/ERR2184293_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184293/ERR2184293_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184298,Peru,PTAN-0097,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184298/ERR2184298_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184298/ERR2184298_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184296,Peru,PTAN-0095,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184296/ERR2184296_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184296/ERR2184296_2.fastq.gz",S,S,S,S,S,R,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184290,Peru,PTAN-0089,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184290/ERR2184290_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184290/ERR2184290_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184275,Peru,PTAN-0074,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184275/ERR2184275_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184275/ERR2184275_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184284,Peru,PTAN-0083,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184284/ERR2184284_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184284/ERR2184284_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184249,Peru,PTAN-0048,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184249/ERR2184249_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184249/ERR2184249_2.fastq.gz",S,S,S,NA,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184277,Peru,PTAN-0076,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184277/ERR2184277_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184277/ERR2184277_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184281,Peru,PTAN-0080,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184281/ERR2184281_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184281/ERR2184281_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184282,Peru,PTAN-0081,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184282/ERR2184282_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184282/ERR2184282_2.fastq.gz",S,S,S,S,S,R,S,S,S,S,S,R,S,Universidad Peruana Cayetano Heredia
ERR2184222,Peru,PTAN-0021,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184222/ERR2184222_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184222/ERR2184222_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,Universidad Peruana Cayetano Heredia
ERR2184305,Peru,PTAN-0104,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184305/ERR2184305_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184305/ERR2184305_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184279,Peru,PTAN-0078,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184279/ERR2184279_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184279/ERR2184279_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184286,Peru,PTAN-0085,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184286/ERR2184286_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184286/ERR2184286_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,Universidad Peruana Cayetano Heredia
ERR2184216,Peru,PTAN-0015,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184216/ERR2184216_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184216/ERR2184216_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
ERR2184258,Peru,PTAN-0057,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184258/ERR2184258_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184258/ERR2184258_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Universidad Peruana Cayetano Heredia
